year,month,region,sales_rep,brand,channel,units_sold,revenue_usd,target_usd,achieved_pct
2022,1,North,Alice Sharma,NovaBev,Retail,1509,10910.07,12509.71,87.2
2022,1,North,Alice Sharma,NovaBev,Wholesale,701,6631.46,7590.29,87.4
2022,1,North,Alice Sharma,NovaBev,E-Commerce,1585,31398.85,33538.58,93.6
2022,1,North,Alice Sharma,PureLeaf,Retail,1409,18936.96,16322.12,116.0
2022,1,North,Alice Sharma,PureLeaf,Wholesale,647,6243.55,6810.51,91.7
2022,1,North,Alice Sharma,PureLeaf,E-Commerce,1349,12114.02,13446.0,90.1
2022,1,North,Alice Sharma,FrostDrink,Retail,1316,17621.24,18144.3,97.1
2022,1,North,Alice Sharma,FrostDrink,Wholesale,769,16295.11,13893.2,117.3
2022,1,North,Alice Sharma,FrostDrink,E-Commerce,1850,15151.5,15440.07,98.1
2022,1,North,Alice Sharma,ZenWater,Retail,769,6236.59,7689.0,81.1
2022,1,North,Alice Sharma,ZenWater,Wholesale,889,6258.56,6270.9,99.8
2022,1,North,Alice Sharma,ZenWater,E-Commerce,935,20523.25,22400.93,91.6
2022,1,North,Alice Sharma,BoostFuel,Retail,1852,10871.24,11238.36,96.7
2022,1,North,Alice Sharma,BoostFuel,Wholesale,455,11129.3,11145.03,99.9
2022,1,North,Alice Sharma,BoostFuel,E-Commerce,1330,14443.8,15909.21,90.8
2022,1,North,Raj Mehta,NovaBev,Retail,1964,24019.72,22264.25,107.9
2022,1,North,Raj Mehta,NovaBev,Wholesale,342,2024.64,1905.51,106.3
2022,1,North,Raj Mehta,NovaBev,E-Commerce,792,19562.4,23320.87,83.9
2022,1,North,Raj Mehta,PureLeaf,Retail,1974,13857.48,13319.66,104.0
2022,1,North,Raj Mehta,PureLeaf,Wholesale,1501,32541.68,29777.64,109.3
2022,1,North,Raj Mehta,PureLeaf,E-Commerce,927,8519.13,8151.03,104.5
2022,1,North,Raj Mehta,FrostDrink,Retail,1599,28718.04,31407.55,91.4
2022,1,North,Raj Mehta,FrostDrink,Wholesale,550,8624.0,8174.9,105.5
2022,1,North,Raj Mehta,FrostDrink,E-Commerce,1146,14428.14,17974.71,80.3
2022,1,North,Raj Mehta,ZenWater,Retail,1510,28327.6,26566.93,106.6
2022,1,North,Raj Mehta,ZenWater,Wholesale,864,18887.04,21916.52,86.2
2022,1,North,Raj Mehta,ZenWater,E-Commerce,669,14343.36,16810.68,85.3
2022,1,North,Raj Mehta,BoostFuel,Retail,1021,10567.35,9874.06,107.0
2022,1,North,Raj Mehta,BoostFuel,Wholesale,1361,30663.33,29923.46,102.5
2022,1,North,Raj Mehta,BoostFuel,E-Commerce,1542,23099.16,27808.46,83.1
2022,1,South,Carlos Rivera,NovaBev,Retail,1516,21496.88,20549.99,104.6
2022,1,South,Carlos Rivera,NovaBev,Wholesale,705,14029.5,14949.71,93.8
2022,1,South,Carlos Rivera,NovaBev,E-Commerce,1729,28857.01,34891.85,82.7
2022,1,South,Carlos Rivera,PureLeaf,Retail,1017,12448.08,15546.78,80.1
2022,1,South,Carlos Rivera,PureLeaf,Wholesale,483,7336.77,6503.05,112.8
2022,1,South,Carlos Rivera,PureLeaf,E-Commerce,296,6577.12,5992.65,109.8
2022,1,South,Carlos Rivera,FrostDrink,Retail,527,10982.68,11189.86,98.1
2022,1,South,Carlos Rivera,FrostDrink,Wholesale,330,4191.0,4561.3,91.9
2022,1,South,Carlos Rivera,FrostDrink,E-Commerce,1158,18041.64,22343.33,80.7
2022,1,South,Carlos Rivera,ZenWater,Retail,1962,46793.7,52507.84,89.1
2022,1,South,Carlos Rivera,ZenWater,Wholesale,434,8085.42,8609.26,93.9
